id,qty,date
0,1.0,2022-11-01
0,0.0,2022-11-02
0,0.0,2022-11-03
0,2.0,2022-11-04
0,8.0,2022-11-05
0,0.0,2022-11-06
0,5.0,2022-11-07
0,9.0,2022-11-08
0,9.0,2022-11-09
0,29.0,2022-11-10
0,26.0,2022-11-11
1,15.0,2022-11-01
1,12.0,2022-11-02
1,15.0,2022-11-03
1,6.0,2022-11-04
1,6.0,2022-11-05
1,9.0,2022-11-06
1,7.0,2022-11-07
1,5.0,2022-11-08
1,6.0,2022-11-09
1,7.0,2022-11-10
1,7.0,2022-11-11
2,9.0,2022-11-01
2,8.0,2022-11-02
2,3.0,2022-11-03
2,7.0,2022-11-04
2,11.0,2022-11-05
2,7.0,2022-11-06
2,11.0,2022-11-07
2,8.0,2022-11-08
2,12.0,2022-11-09
2,4.0,2022-11-10
2,9.0,2022-11-11
3,79.0,2022-11-01
3,132.0,2022-11-02
3,99.0,2022-11-03
3,32.0,2022-11-04
3,45.0,2022-11-05
3,40.0,2022-11-06
3,46.0,2022-11-07
3,41.0,2022-11-08
3,45.0,2022-11-09
3,68.0,2022-11-10
3,68.0,2022-11-11
4,5.0,2022-11-01
4,4.0,2022-11-02
4,9.0,2022-11-03
4,3.0,2022-11-04
4,3.0,2022-11-05
4,2.0,2022-11-06
4,2.0,2022-11-07
4,6.0,2022-11-08
4,11.0,2022-11-09
4,12.0,2022-11-10
4,4.0,2022-11-11
5,16.0,2022-11-01
5,10.0,2022-11-02
5,12.0,2022-11-03
5,0.0,2022-11-04
5,7.0,2022-11-05
5,7.0,2022-11-06
5,16.0,2022-11-07
5,10.0,2022-11-08
5,7.0,2022-11-09
5,24.0,2022-11-10
5,6.0,2022-11-11
6,3.0,2022-11-01
6,7.0,2022-11-02
6,5.0,2022-11-03
6,5.0,2022-11-04
6,3.0,2022-11-05
6,4.0,2022-11-06
6,7.0,2022-11-07
6,12.0,2022-11-08
6,1.0,2022-11-09
6,11.0,2022-11-10
6,2.0,2022-11-11
7,74.0,2022-11-01
7,80.0,2022-11-02
7,42.0,2022-11-03
7,66.0,2022-11-04
7,30.0,2022-11-05
7,92.0,2022-11-06
7,49.0,2022-11-07
7,66.0,2022-11-08
7,40.0,2022-11-09
7,92.0,2022-11-10
7,48.0,2022-11-11
8,2.0,2022-11-01
8,0.0,2022-11-02
8,0.0,2022-11-03
8,4.0,2022-11-04
8,0.0,2022-11-05
8,1.0,2022-11-06
8,6.0,2022-11-07
8,8.0,2022-11-08
8,7.0,2022-11-09
8,13.0,2022-11-10
8,15.0,2022-11-11
9,2.0,2022-11-01
9,3.0,2022-11-02
9,1.0,2022-11-03
9,7.0,2022-11-04
9,7.0,2022-11-05
9,10.0,2022-11-06
9,1.0,2022-11-07
9,1.0,2022-11-08
9,4.0,2022-11-09
9,5.0,2022-11-10
9,5.0,2022-11-11
10,68.0,2022-11-01
10,71.0,2022-11-02
10,71.0,2022-11-03
10,57.0,2022-11-04
10,29.0,2022-11-05
10,48.0,2022-11-06
10,59.0,2022-11-07
10,44.0,2022-11-08
10,36.0,2022-11-09
10,107.0,2022-11-10
10,35.0,2022-11-11
11,1.0,2022-11-01
11,5.0,2022-11-02
11,2.0,2022-11-03
11,3.0,2022-11-04
11,8.0,2022-11-05
11,2.0,2022-11-06
11,2.0,2022-11-07
11,13.0,2022-11-08
11,7.0,2022-11-09
11,5.0,2022-11-10
11,12.0,2022-11-11
12,2.0,2022-11-01
12,5.0,2022-11-02
12,3.0,2022-11-03
12,1.0,2022-11-04
12,1.0,2022-11-05
12,4.0,2022-11-06
12,0.0,2022-11-07
12,1.0,2022-11-08
12,0.0,2022-11-09
12,2.0,2022-11-10
12,0.0,2022-11-11
13,5.0,2022-11-01
13,7.0,2022-11-02
13,17.0,2022-11-03
13,14.0,2022-11-04
13,21.0,2022-11-05
13,18.0,2022-11-06
13,17.0,2022-11-07
13,18.0,2022-11-08
13,11.0,2022-11-09
13,10.0,2022-11-10
13,9.0,2022-11-11
14,33.0,2022-11-01
14,3.0,2022-11-02
14,13.0,2022-11-03
14,2.0,2022-11-04
14,3.0,2022-11-05
14,0.0,2022-11-06
14,0.0,2022-11-07
14,0.0,2022-11-08
14,0.0,2022-11-09
14,4.0,2022-11-10
14,18.0,2022-11-11
15,2.0,2022-11-01
