iter	RMSE
0	1.288569576
1	1.280090395
2	1.273186991
3	1.266162072
4	1.258862684
5	1.253149804
6	1.247020947
7	1.241767619
8	1.236490226
9	1.231992262
10	1.227095673
11	1.222222829
12	1.217176228
13	1.213261754
14	1.209283967
15	1.205121261
16	1.201329389
17	1.19799677
18	1.19530807
19	1.191265216
20	1.189233704
21	1.185989384
22	1.183148247
23	1.179608087
24	1.177076409
25	1.173609066
26	1.171462043
27	1.168608303
28	1.165810664
29	1.16303211
30	1.160489692
31	1.15780281
32	1.155583931
33	1.153158262
34	1.150523512
35	1.148064183
36	1.145691573
37	1.143699025
38	1.141991215
39	1.140007344
40	1.137861584
41	1.135825868
42	1.133328342
43	1.131261945
44	1.128904901
45	1.127215297
46	1.124652216
47	1.122024996
48	1.120130178
49	1.118405979
50	1.117482289
51	1.116558448
52	1.11513384
53	1.113512416
54	1.112397812
55	1.111459054
56	1.110517917
57	1.108431272
58	1.107099594
59	1.105333417
60	1.103847074
61	1.102647945
62	1.101257297
63	1.099611933
64	1.098525511
65	1.097031703
66	1.095747805
67	1.095123433
68	1.093447443
69	1.092046122
70	1.091039051
71	1.090898535
72	1.089234215
73	1.087633954
74	1.086483133
75	1.084409557
76	1.083365875
77	1.082535899
78	1.081089393
79	1.080014195
80	1.079243659
81	1.077834451
82	1.076778035
83	1.076119772
84	1.074905105
85	1.074667563
86	1.073336
87	1.071795697
88	1.070355168
89	1.069104032
90	1.068480108
91	1.068386902
92	1.067373416
93	1.066797314
94	1.066037453
95	1.065091468
96	1.06460698
97	1.063422385
98	1.062453813
99	1.061864791
100	1.061318059
101	1.060847067
102	1.059716084
103	1.05893348
104	1.057947402
105	1.056635892
106	1.055779885
107	1.054828458
108	1.054350539
109	1.054219719
110	1.053715075
111	1.053074576
112	1.052255776
113	1.051811323
114	1.05093941
115	1.050427047
116	1.049764348
117	1.048958687
118	1.048010357
119	1.047706188
120	1.046992457
121	1.046032455
122	1.045167747
123	1.044527365
124	1.044372782
125	1.044093225
126	1.043800082
127	1.043516234
128	1.042263106
129	1.041243658
130	1.040453577
131	1.039620005
132	1.038793417
133	1.038107667
134	1.037112824
135	1.036356061
136	1.035806646
137	1.034868963
138	1.034383433
139	1.033367317
140	1.032795353
141	1.032541651
142	1.030839941
143	1.029988303
