iter	Passed	Remaining
0	2	2956
1	5	2665
2	8	2736
3	10	2729
4	13	2668
5	15	2619
6	18	2577
7	20	2532
8	22	2511
9	25	2522
10	27	2507
11	30	2498
12	33	2507
13	35	2508
14	38	2495
15	40	2497
16	43	2491
17	45	2482
18	47	2468
19	50	2457
20	52	2442
21	55	2445
22	57	2448
23	59	2433
24	61	2414
25	64	2404
26	66	2390
27	68	2390
28	71	2384
29	73	2374
30	75	2365
31	77	2350
32	79	2332
33	82	2335
34	84	2330
35	86	2328
36	89	2334
37	92	2332
38	94	2324
39	96	2318
40	98	2310
41	101	2309
42	103	2307
43	105	2300
44	108	2293
45	110	2283
46	112	2274
47	114	2270
48	117	2272
49	119	2273
50	122	2286
51	125	2282
52	127	2281
53	130	2281
54	132	2278
55	134	2273
56	137	2277
57	140	2275
58	142	2271
59	144	2264
60	146	2261
61	149	2264
62	152	2268
63	155	2269
64	157	2266
65	159	2262
66	162	2269
67	165	2268
68	168	2272
69	170	2266
70	172	2261
71	174	2253
72	177	2248
73	179	2245
74	182	2247
75	184	2243
76	187	2251
77	190	2255
78	193	2253
79	195	2253
80	198	2252
81	201	2253
82	204	2254
83	207	2262
84	210	2264
85	213	2267
86	215	2265
87	218	2264
88	221	2266
89	224	2266
90	226	2267
91	229	2265
92	232	2264
93	235	2272
94	238	2271
95	241	2275
96	244	2276
97	247	2278
98	250	2279
99	253	2281
100	258	2301
101	262	2308
102	265	2312
103	268	2316
104	273	2329
105	276	2336
106	280	2342
107	283	2344
108	287	2347
109	290	2347
110	292	2344
111	294	2338
112	297	2338
113	300	2337
114	304	2344
115	307	2345
116	311	2347
117	313	2344
118	317	2351
119	320	2351
120	323	2349
121	325	2345
122	328	2342
123	331	2339
124	334	2338
125	336	2337
126	339	2333
127	341	2327
128	344	2328
129	347	2324
130	352	2338
131	355	2335
132	357	2332
133	360	2327
134	363	2327
135	365	2323
136	368	2321
137	371	2318
138	374	2317
139	376	2314
140	379	2309
141	381	2306
142	384	2302
143	386	2298
144	388	2292
145	391	2289
146	394	2286
147	396	2283
148	399	2280
149	402	2279
150	405	2277
151	408	2277
152	410	2273
153	413	2269
154	416	2268
155	418	2263
156	420	2258
157	422	2253
158	424	2247
159	427	2246
160	430	2241
161	432	2237
162	435	2234
163	437	2231
164	439	2225
165	442	2225
166	445	2220
167	447	2216
168	450	2213
169	452	2210
170	455	2207
171	457	2204
172	461	2205
173	463	2202
174	466	2200
175	468	2195
176	471	2190
177	473	2187
178	476	2183
179	478	2179
180	481	2176
181	483	2171
182	485	2166
183	487	2163
184	490	2160
185	493	2158
186	495	2155
187	499	2155
188	501	2151
189	503	2147
190	506	2146
191	509	2143
192	512	2141
193	515	2140
194	518	2138
195	520	2136
196	523	2133
197	525	2129
198	528	2126
199	530	2122
200	533	2119
201	535	2115
202	538	2115
203	541	2112
204	543	2107
205	545	2103
206	548	2100
207	550	2097
208	553	2095
209	556	2092
210	558	2090
211	561	2086
212	563	2083
213	566	2080
214	569	2078
215	572	2076
216	574	2072
217	577	2070
218	580	2069
219	583	2068
220	586	2067
221	589	2064
222	592	2063
223	594	2060
224	598	2060
225	601	2059
226	604	2058
227	607	2055
228	609	2053
229	612	2050
230	615	2049
231	618	2046
232	620	2043
233	623	2041
234	625	2037
235	628	2035
236	631	2033
237	634	2032
238	637	2030
239	640	2028
240	643	2025
241	646	2023
242	649	2022
243	651	2019
244	654	2017
245	656	2013
246	660	2012
247	663	2012
248	666	2011
249	670	2011
250	672	2007
251	675	2005
252	678	2002
253	681	2000
254	684	1999
255	686	1995
256	689	1993
257	692	1992
258	696	1992
259	698	1988
260	701	1986
261	703	1982
262	706	1980
263	709	1977
264	711	1974
265	714	1971
266	717	1968
267	720	1966
268	722	1963
269	725	1961
270	727	1958
271	730	1954
272	732	1951
273	734	1947
274	737	1944
275	740	1943
276	743	1939
277	745	1936
278	747	1932
279	750	1930
280	754	1930
281	756	1926
282	759	1923
283	761	1920
284	764	1917
285	767	1916
286	770	1915
287	773	1912
288	776	1909
289	778	1907
290	781	1903
291	784	1901
292	786	1898
293	789	1895
294	791	1892
295	794	1888
296	796	1886
297	799	1883
298	801	1880
299	804	1877
300	807	1874
301	809	1871
302	812	1869
303	815	1866
304	818	1864
305	820	1861
306	822	1857
307	825	1854
308	827	1850
309	830	1847
310	832	1844
311	835	1843
312	838	1839
313	840	1835
314	842	1832
315	846	1831
316	848	1829
317	851	1825
318	853	1822
319	856	1819
320	859	1817
321	861	1814
322	864	1812
323	867	1809
324	869	1806
325	872	1803
326	874	1800
327	878	1799
328	880	1795
329	883	1792
330	885	1789
331	887	1786
332	891	1785
333	894	1784
334	897	1781
335	899	1778
336	902	1775
337	904	1772
338	908	1772
339	911	1769
340	913	1765
341	916	1762
342	918	1758
343	920	1755
344	923	1752
345	925	1749
346	928	1746
347	930	1743
348	933	1740
349	935	1738
350	938	1735
351	941	1734
352	945	1732
353	947	1729
354	950	1726
355	952	1723
356	955	1720
357	957	1717
358	960	1714
359	962	1711
360	965	1708
361	968	1706
362	970	1703
363	973	1701
364	976	1698
365	979	1695
366	981	1692
367	984	1689
368	987	1688
369	990	1685
370	992	1683
371	995	1679
372	997	1676
373	1000	1674
374	1002	1671
375	1005	1669
376	1008	1666
377	1010	1663
378	1013	1659
379	1015	1657
380	1018	1654
381	1020	1651
382	1022	1647
383	1025	1644
384	1027	1640
385	1029	1637
386	1031	1634
387	1034	1631
388	1036	1628
389	1038	1624
390	1040	1621
391	1042	1617
392	1045	1614
393	1047	1611
394	1050	1608
395	1052	1605
396	1054	1602
397	1057	1599
398	1059	1595
399	1061	1592
400	1064	1590
401	1067	1587
402	1069	1584
403	1071	1581
404	1074	1577
405	1076	1574
406	1079	1572
407	1081	1569
408	1083	1565
409	1086	1563
410	1089	1560
411	1091	1558
412	1094	1555
413	1096	1552
414	1099	1549
415	1101	1546
416	1103	1543
417	1105	1539
418	1108	1536
419	1111	1534
420	1113	1531
421	1115	1528
422	1118	1525
423	1120	1521
424	1123	1519
425	1125	1516
426	1128	1513
427	1130	1511
428	1133	1508
429	1135	1504
430	1137	1501
431	1140	1500
432	1143	1497
433	1146	1494
434	1149	1493
435	1151	1490
436	1154	1487
437	1157	1485
438	1160	1482
439	1163	1480
440	1165	1477
441	1167	1474
442	1170	1472
443	1173	1469
444	1176	1467
445	1179	1464
446	1182	1462
447	1184	1459
448	1187	1457
449	1190	1454
450	1193	1452
451	1196	1450
452	1199	1447
453	1202	1445
454	1205	1443
455	1207	1440
456	1210	1437
457	1220	1444
458	1223	1441
459	1225	1439
460	1228	1436
461	1231	1434
462	1234	1431
463	1236	1428
464	1239	1425
465	1241	1423
466	1244	1420
467	1247	1417
468	1250	1415
469	1252	1412
470	1255	1409
471	1258	1407
472	1260	1404
473	1263	1402
474	1266	1400
475	1269	1397
476	1271	1394
477	1274	1391
478	1276	1388
479	1280	1386
480	1282	1383
481	1285	1381
482	1288	1378
483	1291	1376
484	1294	1374
485	1297	1372
486	1300	1369
487	1302	1366
488	1305	1364
489	1308	1361
490	1311	1359
491	1314	1357
492	1318	1355
493	1321	1353
494	1324	1350
495	1327	1349
496	1330	1346
497	1333	1344
498	1336	1341
499	1338	1338
500	1341	1336
501	1344	1333
502	1347	1331
503	1349	1328
504	1352	1325
505	1354	1322
506	1357	1320
507	1360	1317
508	1362	1314
509	1364	1311
510	1367	1308
511	1369	1305
512	1371	1302
513	1374	1299
514	1376	1296
515	1379	1293
516	1381	1290
517	1383	1287
518	1385	1284
519	1388	1281
520	1391	1279
521	1394	1276
522	1396	1273
523	1399	1271
524	1401	1268
525	1405	1266
526	1408	1263
527	1410	1260
528	1413	1258
529	1416	1255
530	1418	1253
531	1421	1250
532	1424	1248
533	1427	1245
534	1430	1243
535	1434	1242
536	1438	1239
537	1441	1237
538	1444	1235
539	1448	1233
540	1451	1231
541	1454	1229
542	1457	1226
543	1462	1225
544	1466	1224
545	1469	1222
546	1472	1219
547	1475	1216
548	1478	1214
549	1481	1211
550	1484	1209
551	1487	1207
552	1489	1204
553	1492	1201
554	1495	1199
555	1498	1196
556	1501	1194
557	1504	1192
558	1508	1189
559	1511	1187
560	1513	1184
561	1516	1181
562	1519	1179
563	1521	1176
564	1524	1173
565	1527	1171
566	1530	1168
567	1533	1166
568	1536	1163
569	1538	1160
570	1541	1158
571	1544	1156
572	1547	1153
573	1549	1150
574	1552	1147
575	1555	1144
576	1557	1141
577	1560	1139
578	1562	1136
579	1565	1133
580	1567	1130
581	1570	1128
582	1573	1125
583	1577	1123
584	1579	1120
585	1582	1117
586	1585	1115
587	1588	1112
588	1591	1110
589	1594	1108
590	1596	1105
591	1599	1102
592	1601	1098
593	1604	1096
